,precision,recall,f1-score,support
Blizzard,0.0,0.0,0.0,1.0
Blowing Snow,0.13043478260869565,0.5,0.20689655172413793,6.0
Clear,0.4354913833255706,0.8102253032928943,0.5664950015146926,1154.0
Cloudy,0.04356132976690867,0.43018867924528303,0.0791117279666898,265.0
Fog,0.3671875,0.6690391459074733,0.47414880201765447,281.0
Freezing Drizzle,0.0,0.0,0.0,1.0
Freezing Fog,0.2158273381294964,0.8571428571428571,0.3448275862068966,35.0
Heavy Rain,0.125,0.5454545454545454,0.2033898305084746,11.0
Heavy Rain At Times,0.0,0.0,0.0,3.0
Heavy Snow,0.2727272727272727,0.3157894736842105,0.2926829268292683,19.0
Light Drizzle,0.21226415094339623,0.3879310344827586,0.27439024390243905,116.0
Light Freezing Rain,0.03048780487804878,0.3333333333333333,0.055865921787709494,15.0
Light Rain,0.22929936305732485,0.192,0.20899854862119013,750.0
Light Rain Shower,0.31811023622047246,0.3607142857142857,0.33807531380753136,560.0
Light Sleet,0.027210884353741496,0.4,0.050955414012738856,10.0
Light Sleet Showers,0.0,0.0,0.0,2.0
Light Snow,0.21904761904761905,0.2987012987012987,0.25274725274725274,77.0
Light Snow Showers,0.0,0.0,0.0,11.0
Mist,0.4404332129963899,0.38812301166489926,0.41262683201803835,943.0
Moderate Or Heavy Rain In Area With Thunder,0.0,0.0,0.0,2.0
Moderate Or Heavy Rain Shower,0.04983388704318937,0.2777777777777778,0.08450704225352113,54.0
Moderate Or Heavy Rain With Thunder,0.11068702290076336,0.14215686274509803,0.12446351931330472,204.0
Moderate Or Heavy Sleet,0.0,0.0,0.0,1.0
Moderate Or Heavy Snow In Area With Thunder,0.0,0.0,0.0,1.0
Moderate Or Heavy Snow Showers,0.0196078431372549,0.2222222222222222,0.036036036036036036,9.0
Moderate Rain,0.09243697478991597,0.11458333333333333,0.10232558139534884,192.0
Moderate Rain At Times,0.012987012987012988,0.13043478260869565,0.023622047244094488,23.0
Moderate Snow,0.09302325581395349,0.2857142857142857,0.14035087719298245,14.0
Overcast,0.3504983388704319,0.3330702446724546,0.3415621205989478,1267.0
Partly Cloudy,0.769618430525558,0.12420123155571047,0.21388555422168867,8607.0
Patchy Heavy Snow,0.033707865168539325,0.6,0.06382978723404255,5.0
Patchy Light Drizzle,0.2459016393442623,0.5555555555555556,0.3409090909090909,81.0
Patchy Light Rain,0.04669260700389105,0.27906976744186046,0.08,43.0
Patchy Light Rain In Area With Thunder,0.04716981132075472,0.6944444444444444,0.08833922261484099,36.0
Patchy Light Rain With Thunder,0.055970149253731345,0.30201342281879195,0.0944386149003148,149.0
Patchy Light Snow,0.02564102564102564,0.14285714285714285,0.043478260869565216,14.0
Patchy Light Snow In Area With Thunder,0.0,0.0,0.0,1.0
Patchy Moderate Snow,0.01282051282051282,0.5,0.025,2.0
Patchy Rain Nearby,0.4301164725457571,0.2601912430800201,0.3242395735340232,1987.0
Patchy Rain Possible,0.002008032128514056,0.125,0.003952569169960474,8.0
Patchy Snow Nearby,0.0,0.0,0.0,1.0
Patchy Snow Possible,0.0,0.0,0.0,1.0
Sunny,0.8906544996853367,0.796314530876354,0.8408466394355737,7109.0
Thundery Outbreaks In Nearby,0.022804054054054054,0.574468085106383,0.043866774979691305,47.0
Thundery Outbreaks Possible,0.0045351473922902496,0.4,0.008968609865470852,5.0
Torrential Rain Shower,0.0,0.0,0.0,2.0
accuracy,0.4135958549222798,0.4135958549222798,0.4135958549222798,0.4135958549222798
macro avg,0.13877820566264537,0.2901895195963906,0.14751812772680897,24125.0
weighted avg,0.6537928551028425,0.4135958549222798,0.44005098477139876,24125.0
