,precision,recall,f1-score,support
Blizzard,0.0,0.0,0.0,1.0
Blowing Snow,0.17142857142857143,1.0,0.2926829268292683,6.0
Clear,0.5431841831425598,0.9046793760831889,0.6788036410923277,1154.0
Cloudy,0.07762142532909669,0.6452830188679245,0.1385737439222042,265.0
Fog,0.6677631578947368,0.7224199288256228,0.694017094017094,281.0
Freezing Drizzle,0.0,0.0,0.0,1.0
Freezing Fog,0.22535211267605634,0.9142857142857143,0.3615819209039548,35.0
Heavy Rain,0.1590909090909091,0.6363636363636364,0.2545454545454545,11.0
Heavy Rain At Times,0.0,0.0,0.0,3.0
Heavy Snow,0.48,0.631578947368421,0.5454545454545454,19.0
Light Drizzle,0.42038216560509556,0.5689655172413793,0.4835164835164835,116.0
Light Freezing Rain,0.03208556149732621,0.4,0.0594059405940594,15.0
Light Rain,0.27895595432300163,0.228,0.2509170946441673,750.0
Light Rain Shower,0.31741366642174873,0.7714285714285715,0.4497657470067673,560.0
Light Sleet,0.025,0.3,0.046153846153846156,10.0
Light Sleet Showers,0.045454545454545456,0.5,0.08333333333333333,2.0
Light Snow,0.11387900355871886,0.4155844155844156,0.1787709497206704,77.0
Light Snow Showers,0.05084745762711865,0.2727272727272727,0.08571428571428572,11.0
Mist,0.5278246205733558,0.6638388123011665,0.588069516204791,943.0
Moderate Or Heavy Rain In Area With Thunder,0.0,0.0,0.0,2.0
Moderate Or Heavy Rain Shower,0.17575757575757575,0.5370370370370371,0.2648401826484018,54.0
Moderate Or Heavy Rain With Thunder,0.11650485436893204,0.17647058823529413,0.14035087719298245,204.0
Moderate Or Heavy Sleet,0.0,0.0,0.0,1.0
Moderate Or Heavy Snow In Area With Thunder,0.0,0.0,0.0,1.0
Moderate Or Heavy Snow Showers,0.17391304347826086,0.4444444444444444,0.25,9.0
Moderate Rain,0.1694915254237288,0.15625,0.16260162601626016,192.0
Moderate Rain At Times,0.14285714285714285,0.21739130434782608,0.1724137931034483,23.0
Moderate Snow,0.17647058823529413,0.21428571428571427,0.1935483870967742,14.0
Overcast,0.6424642464246425,0.46093133385951063,0.5367647058823529,1267.0
Partly Cloudy,0.8652210884353742,0.2364354595097014,0.3713842503878091,8607.0
Patchy Heavy Snow,0.23076923076923078,0.6,0.3333333333333333,5.0
Patchy Light Drizzle,0.36597938144329895,0.8765432098765432,0.5163636363636364,81.0
Patchy Light Rain,0.08484848484848485,0.6511627906976745,0.15013404825737264,43.0
Patchy Light Rain In Area With Thunder,0.0893854748603352,0.8888888888888888,0.16243654822335024,36.0
Patchy Light Rain With Thunder,0.0855614973262032,0.3221476510067114,0.1352112676056338,149.0
Patchy Light Snow,0.06060606060606061,0.14285714285714285,0.0851063829787234,14.0
Patchy Light Snow In Area With Thunder,0.25,1.0,0.4,1.0
Patchy Moderate Snow,0.07142857142857142,0.5,0.125,2.0
Patchy Rain Nearby,0.5347303065580132,0.6935078007045797,0.6038562664329535,1987.0
Patchy Rain Possible,0.025806451612903226,0.5,0.049079754601226995,8.0
Patchy Snow Nearby,0.0,0.0,0.0,1.0
Patchy Snow Possible,0.0,0.0,0.0,1.0
Sunny,0.9095082938388626,0.8638345758897172,0.8860832551763942,7109.0
Thundery Outbreaks In Nearby,0.08638743455497382,0.7021276595744681,0.15384615384615385,47.0
Thundery Outbreaks Possible,0.030303030303030304,0.2,0.05263157894736842,5.0
Torrential Rain Shower,0.0,0.0,0.0,2.0
accuracy,0.5506321243523316,0.5506321243523316,0.5506321243523316,0.5506321243523316
macro avg,0.20487560038595132,0.43390153939766446,0.2377454906901615,24125.0
weighted avg,0.7343756075786941,0.5506321243523316,0.5659663480289409,24125.0
